rule_name,file_name,len(generated)_revised,len(reference)_revised,reviewed new_match,reviewed note,precision,recall,precision,,,,
"enslaved : Person(w) ? enslaved : hasSexRecord(w, x) ? enslaved : SexRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P31(hasSex)(w, x) ? wikibase : Statement(x)? prov : wasDerivedFrom(x, y) ? wikibase : Reference(y)? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EnityWithProvenance)(z)",alignment_output_SexRecordRules_3.txt,5,5,5,,,1,1,,,,
"enslaved : Person(w) ? enslaved : hasSexRecord(w, x) ? enslaved : SexRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P31(hasSex)(w, x) ? wikibase : Statement(x)? prov : wasDerivedFrom(x, y) ? wikibase : Reference(y)? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EnityWithProvenance)(z)",alignment_output_SexRecordRules_4.txt,5,5,5,SexRecord is subclass of AgentRecord,,1,1,,,,
"enslaved : Person(w) ? enslaved : hasSexRecord(w, x) ? enslaved : SexRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P31(hasSex)(w, x) ? wikibase : Statement(x)? prov : wasDerivedFrom(x, y) ? wikibase : Reference(y)? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EnityWithProvenance)(z)",alignment_output_SexRecordRules_5.txt,5,5,5,,,1,1,,,,
"enslaved : Person(w) ? enslaved : hasSexRecord(w, x) ? enslaved : SexRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? ed : Q410(Person)(w) ? ep : P31(hasSex)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)",alignment_output_SexRecordRules_6.txt,6,6,6,,,1,1,,,,
"enslaved : Person(x) ? enslaved : hasNameRecord(x, y) ? enslaved : NameRecord(y) ? ed : Q410(Person)(x) ? ep : P72(hasSurname)(x, y) ? wikibase : Statement(y)",alignment_output_NameRecordRules_1.txt,3,3,1,,,0.33,0.33,,,,
"enslaved : Person(x) ? enslaved : hasNameRecord(x, y) ? enslaved : NameRecord(y) ? ed : Q410(Person)(x) ? ep : P72(hasSurname)(x, y) ? wikibase : Statement(y)",alignment_output_NameRecordRules_2.txt,3,3,1,,,0.33,0.33,,,,
"enslaved : Person(x) ? enslaved : hasNameRecord(x, y) ? enslaved : NameRecord(y) ? ed : Q410(Person)(x) ? ep : P72(hasSurname)(x, y) ? wikibase : Statement(y)",alignment_output_NameRecordRules_3.txt,3,3,2,,,0.67,0.67,,,,
"enslaved : Person(x) ? enslaved : hasNameRecord(x, y) ? enslaved : NameRecord(y) ? ed : Q410(Person)(x) ? ep : P72(hasSurname)(x, y) ? wikibase : Statement(y)",alignment_output_NameRecordRules_4.txt,3,3,1,,,0.33,0.33,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : hasSurnameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P72(hasSurnName)(w, x) ? wikibase : Statement(x) ? eps : P72(hasSurname)(x, z)",alignment_output_NameRecordRules_5.txt,4,6,3,"person, nameVariant,fullNameAsString",,0.5,0.75,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : hasSurnameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P72(hasSurnName)(w, x) ? wikibase : Statement(x) ? eps : P72(hasSurname)(x, z)",alignment_output_NameRecordRules_6.txt,4,6,3,"person, enslaved : NameVariant(y ) ∧enslaved : hasSurnameAsString (y, z)",,0.5,0.75,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : hasSurnameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P72(hasSurnName)(w, x) ? wikibase : Statement(x) ? eps : P72(hasSurname)(x, z)",alignment_output_NameRecordRules_7.txt,3,6,3,,,0.5,1,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : hasSurnameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P72(hasSurnName)(w, x) ? wikibase : Statement(x) ? eps : P72(hasSurname)(x, z)",alignment_output_NameRecordRules_8.txt,3,6,1,,,0.17,0.33,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : fullNameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P20(hasName)(w, x) ? wikibase : Statement(x) ? eps : P20(hasName)(x, z)",alignment_output_NameRecordRules_9.txt,5,5,3,,,0.6,0.6,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : fullNameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P20(hasName)(w, x) ? wikibase : Statement(x) ? eps : P20(hasName)(x, z)",alignment_output_NameRecordRules_10.txt,5,5,3,,,0.6,0.6,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : fullNameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P20(hasName)(w, x) ? wikibase : Statement(x) ? eps : P20(hasName)(x, z)",alignment_output_NameRecordRules_11.txt,5,5,3,,,0.6,0.6,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : fullNameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P20(hasName)(w, x) ? wikibase : Statement(x) ? eps : P20(hasName)(x, z)",alignment_output_NameRecordRules_12.txt,5,5,3,,,0.6,0.6,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : fullNameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P20(hasName)(w, x) ? wikibase : Statement(x) ? eps : P20(hasName)(x, z)",alignment_output_NameRecordRules_13.txt,4,5,3,,,0.6,0.75,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : fullNameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P20(hasName)(w, x) ? wikibase : Statement(x) ? eps : P20(hasName)(x, z)",alignment_output_NameRecordRules_14.txt,4,5,3,,,0.6,0.75,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : fullNameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P20(hasName)(w, x) ? wikibase : Statement(x) ? eps : P20(hasName)(x, z)",alignment_output_NameRecordRules_15.txt,5,5,3,,,0.6,0.6,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : fullNameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P20(hasName)(w, x) ? wikibase : Statement(x) ? eps : P20(hasName)(x, z)",alignment_output_NameRecordRules_16.txt,4,5,3,,,0.6,0.75,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : hasSurnameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P72(hasSurnName)(w, x) ? wikibase : Statement(x) ? eps : P72(hasSurname)(x, z)",alignment_output_NameRecordRules_17.txt,6,6,3,,,0.5,0.5,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : hasSurnameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P72(hasSurnName)(w, x) ? wikibase : Statement(x) ? eps : P72(hasSurname)(x, z)",alignment_output_NameRecordRules_18.txt,6,6,3,,,0.5,0.5,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : hasSurnameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P72(hasSurnName)(w, x) ? wikibase : Statement(x) ? eps : P72(hasSurname)(x, z)",alignment_output_NameRecordRules_19.txt,6,6,3,,,0.5,0.5,,,,
"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : hasSurnameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P72(hasSurnName)(w, x) ? wikibase : Statement(x) ? eps : P72(hasSurname)(x, z)",alignment_output_NameRecordRules_20.txt,5,6,3,,,0.5,0.6,,,,
enslaved : PSCategories(x) ? ed : Q375(PersonStatus)(x),alignment_output_PersonStatusRecordRules_1.txt,1,1,0,,,0,0,,,,
"enslaved : Person(x) ? enslaved : hasPersonStatusRecord(x, y) ? enslaved : PersonStatusRecord(y)? enslaved : hasValue(y, z) ? enslaved : PSCategories(z) ? ed : Q410(Person)(x) ? ep : P33(hasPersonStatus)(x, y) ? wikibase : Statement(y)? eps : P33(hasPersonStatus)(y, z) ? ed : Q375(PersonStatus)(z)",alignment_output_PersonStatusRecordRules_2.txt,3,3,3,,,1,1,,,,
"enslaved : Person(x) ? enslaved : hasPersonStatusRecord(x, y) ? enslaved : PersonStatusRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P33(hasPersonStatus)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)",alignment_output_PersonStatusRecordRules_3.txt,4,5,3,,,0.6,0.75,,,,
"enslaved : Person(x) ? enslaved : hasPersonStatusRecord(x, y) ? enslaved : PersonStatusRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P33(hasPersonStatus)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)",alignment_output_PersonStatusRecordRules_4.txt,4,5,4,,,0.8,1,,,,
"enslaved : Person(x) ? enslaved : hasPersonStatusRecord(x, y) ? enslaved : PersonStatusRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P33(hasPersonStatus)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)",alignment_output_PersonStatusRecordRules_5.txt,5,5,4,,,0.8,0.8,,,,
"enslaved : Person(x) ? enslaved : hasPersonStatusRecord(x, y) ? enslaved : PersonStatusRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P33(hasPersonStatus)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)",alignment_output_PersonStatusRecordRules_6.txt,5,5,4,,,0.8,0.8,,,,
"enslaved : Person(w) ? enslaved : hasPersonStatusRecord(w, x) ? enslaved : PersonStatusRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P33(hasPersonStatus)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EnityWithProvenance)(z)",alignment_output_PersonStatusRecordRules_7.txt,6,6,4,,,0.67,0.67,,,,
enslaved : ParticipantRoleTypes(x) ? ed : Q316(RoleinaLifeEvent)(x),alignment_output_ParticipantRoleRecordRules_1.txt,4,1,1,,,1,0.25,,,,
"enslaved : Person(x) ? enslaved : hasParticipantRoleRecord(x, y) ? enslaved : ParticipantRoleRecord(y)? enslaved : hasParticipantRoleType(y, z) ? enslaved : ParticipantRoleTypes(z) ? ed : Q410(Person)(x) ? ep : P17(hasParticipantRole)(x, y) ? wikibase : Statement(y)? eps : P17(hasParticipantRole)(y, z) ? ed : Q316(RoleinaLifeEvent)(z)",alignment_output_ParticipantRoleRecordRules_2.txt,3,3,3,,,1,1,,,,
"enslaved : Person(x) ? enslaved : hasParticipantRoleRecord(x, y) ? enslaved : ParticipantRoleRecord(y)? enslaved : roleProvidedBy(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P17(hasParticipantRole)(x, y) ? wikibase : Statement(y)? epq : P19(roleProvidedBy)(y, z) ? ed : Q238(Event)(z)",alignment_output_ParticipantRoleRecordRules_3.txt,5,5,4,,,0.8,0.8,,,,
"enslaved : Person(x) ? enslaved : hasParticipantRoleRecord(x, y) ? enslaved : ParticipantRoleRecord(y)? enslaved : roleProvidedBy(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P17(hasParticipantRole)(x, y) ? wikibase : Statement(y)? epq : P19(roleProvidedBy)(y, z) ? ed : Q238(Event)(z)",alignment_output_ParticipantRoleRecordRules_4.txt,5,5,3,,,0.6,0.6,,,,
"enslaved : Person(x) ? enslaved : hasParticipantRoleRecord(x, y) ? enslaved : ParticipantRoleRecord(y)? enslaved : roleProvidedBy(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P17(hasParticipantRole)(x, y) ? wikibase : Statement(y)? epq : P19(roleProvidedBy)(y, z) ? ed : Q238(Event)(z)",alignment_output_ParticipantRoleRecordRules_5.txt,5,5,4,,,0.8,0.8,,,,
"enslaved : Person(x) ? enslaved : hasParticipantRoleRecord(x, y) ? enslaved : ParticipantRoleRecord(y)? enslaved : roleProvidedBy(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P17(hasParticipantRole)(x, y) ? wikibase : Statement(y)? epq : P19(roleProvidedBy)(y, z) ? ed : Q238(Event)(z)",alignment_output_ParticipantRoleRecordRules_6.txt,5,5,4,,,0.8,0.8,,,,
"enslaved : Person(w) ? enslaved : hasParticipantRoleRecord(w, x) ? enslaved : ParticipantRoleRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P17(hasParticipantRole)(w, x) ? wikibase : Statement(x)? prov : wasDerivedFrom(x, y) ? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z)? ed : Q67(EnityWithProvenance)(z)",alignment_output_ParticipantRoleRecordRules_7.txt,6,6,3,,,0.5,0.5,,,,
enslaved : Occupations(x) ? ed : Q108(Occupation)(x),alignment_output_OccupationRecordRules_1.txt,1,1,0,,,0,0,,,,
"enslaved : Person(x) ? enslaved : hasOccupationRecord(x, y) ? enslaved : OccupationRecord(y)? enslaved : hasValue(y, z) ? enslaved : Occupations(z) ? ed : Q410(Person)(x) ? ep : P22(hasOccupation)(x, y) ? wikibase : Statement(y)? eps : P22(hasOccupation)(y, z) ? ed : Q108(Occupation)(z)",alignment_output_OccupationRecordRules_2.txt,3,3,3,,,1,1,,,,
"enslaved : Person(w) ? enslaved : hasOccupationRecord(w, x) ? enslaved : OccupationRecord(x)?
enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P22(hasOccupation)(w, x) ? wikibase : Statement(x)?
prov : wasDerivedFrom(x, y) ? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z)?
ed : Q67(EnityWithProvenance)(z)",alignment_output_OccupationRecordRules_3.txt,4,5,4,,,0.8,1,,,,
"enslaved : Person(w) ? enslaved : hasOccupationRecord(w, x) ? enslaved : OccupationRecord(x)?
enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P22(hasOccupation)(w, x) ? wikibase : Statement(x)?
prov : wasDerivedFrom(x, y) ? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z)?
ed : Q67(EnityWithProvenance)(z)",alignment_output_OccupationRecordRules_4.txt,4,5,4,,,0.8,1,,,,
"enslaved : Person(w) ? enslaved : hasOccupationRecord(w, x) ? enslaved : OccupationRecord(x)?
enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P22(hasOccupation)(w, x) ? wikibase : Statement(x)?
prov : wasDerivedFrom(x, y) ? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z)?
ed : Q67(EnityWithProvenance)(z)",alignment_output_OccupationRecordRules_5.txt,5,5,4,,,0.8,0.8,,,,
"enslaved : Person(w) ? enslaved : hasOccupationRecord(w, x) ? enslaved : OccupationRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? ed : Q410(Person)(w) ? ep : P22(hasOccupation)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)",alignment_output_OccupationRecordRules_6.txt,6,6,4,,,0.67,0.67,,,,
"enslaved : Person(x) ? enslaved : hasRaceRecord(x, y) ? enslaved : RaceRecord(y) ? enslaved : recordedAt(y, z)? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P32(hasRaceorColor)(x, y)? wikibase : Statement(y) ? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)",alignment_output_RaceRecordRules_1.txt,3,3,3,,,1,1,,,,
"enslaved : Person(w) ? enslaved : hasRaceRecord(w, x) ? enslaved : RaceRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P32(hasRaceorColor)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EnityWithProvenance)(z)",alignment_output_RaceRecordRules_2.txt,4,4,4,,,1,1,,,,
"enslaved : Person(w) ? enslaved : hasRaceRecord(w, x) ? enslaved : RaceRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? ed : Q410(Person)(w) ? ep : P32(hasRaceorColor)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)",alignment_output_RaceRecordRules_3.txt,5,5,4,,,0.8,0.8,,,,
"enslaved : Person(w) ? enslaved : hasRaceRecord(w, x) ? enslaved : RaceRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? ed : Q410(Person)(w) ? ep : P32(hasRaceorColor)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)",alignment_output_RaceRecordRules_4.txt,5,5,4,,,0.8,0.8,,,,
,alignment_output_RaceRecordRules_5.txt,6,6,4,,,0.67,0.67,,,,
enslaved : InterAgentRelationshipTypes(x) ? ed : Q463(InteragentRelationship)(x),alignment_output_InterAgentRelationshipRecordRules_1.txt,1,1,0,,,0,0,,,,
"enslaved : Person(x) ? enslaved : hasInterAgentRelationshipRecord(x, y) ? enslaved : InterAgentRelationshipRecord(y)? enslaved : hasInterAgentRelationshipType(y, z) ? enslaved : InterAgentRelationshipTypes(z) ? ed : Q410(Person)(x) ? ep : P39(hasInterAgentRelationshipTypeTo)(x, y) ? wikibase : Statement(y)? eps : P39(hasInterAgentRelationshipTypeTo)(y, z) ? ed : Q463(InteragentRelationship)(z)",alignment_output_InterAgentRelationshipRecordRules_2.txt,3,3,1,,,0.33,0.33,,,,
"enslaved : Person(x) ? enslaved : hasInterAgentRelationshipRecord(x, y) ? enslaved : InterAgentRelationshipRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? Q410(Person)(x) ? ep : P39(hasInterAgentRelationshipTypeTo)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)",alignment_output_InterAgentRelationshipRecordRules_3.txt,4,5,1,,,0.2,0.25,,,,
"enslaved : Person(w) ? enslaved : hasInterAgentRelationshipRecord(w, x) ? enslaved : InterAgentRelationshipRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? Q410(Person)(w) ? ep : P39(hasInterAgentRelationshipTypeTo)(w, x) ? wikibase : Statement(x)? prov : wasDerivedFrom(x, y) ? wikibase : Reference(y)? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EntityWithProvenance)(z)",alignment_output_InterAgentRelationshipRecordRules_4.txt,3,4,1,,,0.25,0.33,,,,
"enslaved : Person(w) ? enslaved : hasInterAgentRelationshipRecord(w, x) ? enslaved : InterAgentRelationshipRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? Q410(Person)(w) ? ep : P39(hasInterAgentRelationshipTypeTo)(w, x) ? wikibase : Statement(x)? prov : wasDerivedFrom(x, y) ? wikibase : Reference(y)? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EntityWithProvenance)(z)",alignment_output_InterAgentRelationshipRecordRules_5.txt,4,5,3,,,0.6,0.75,,,,
"enslaved : Person(w) ? enslaved : hasInterAgentRelationshipRecord(w, x) ? enslaved : InterAgentRelationshipRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? Q410(Person)(w) ? ep : P39(hasInterAgentRelationshipTypeTo)(w, x) ? wikibase : Statement(x)? prov : wasDerivedFrom(x, y) ? wikibase : Reference(y)? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EntityWithProvenance)(z)",alignment_output_InterAgentRelationshipRecordRules_6.txt,3,5,3,,,0.6,1,,,,
"enslaved : Person(w) ? enslaved : hasInterAgentRelationshipRecord(w, x) ? enslaved : InterAgentRelationshipRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? Q410(Person)(w) ? ep : P39(hasInterAgentRelationshipTypeTo)(w, x)? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)",alignment_output_InterAgentRelationshipRecordRules_7.txt,4,6,2,,,0.33,0.5,,,,
enslaved : ECVO(x) ? ed : Q298(EthnolinguisticDescriptor)(x),alignment_output_OriginRecordRules_1.txt,2,1,0,,,0,0,,,,
"enslaved : Person(x) ? enslaved : hasOriginRecord(x, y) ? enslaved : OriginRecord(y)? enslaved : hasECVO(y, z) ? enslaved : ECVO(z) ? ed : Q410(Person)(x) ? ep : P46(hasEthnolinguisticDescriptor)(x, y) ? wikibase : Statement(y)? eps : P46(hasEthnolinguisticDescriptor)(y, z) ? ed : Q298(EthnolinguisticDescriptor)(z)",alignment_output_OriginRecordRules_2.txt,3,3,1,,,0.33,0.33,,,,
