AgeRecordRules,SexRecordRules,NameRecordRules,PersonStatusRecordRules,ParticipantRoleRecordRules,OccupationRecordRules,RaceRecordRules,InterAgentRelationshipRecordRules,OriginRecordRules,ResearchProjectRules,PlaceRules,EventRules,EntityWithProvenanceRules
,,"enslaved : Person(x) ? enslaved : hasNameRecord(x, y) ? enslaved : NameRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P72(hasSurname)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)",,,,,,,,,,
,,"enslaved : Person(x) ? enslaved : hasNameRecord(x, y) ? enslaved : NameRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P73(hasFirstName)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)",,,,,,,,,,
,,"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P20(hasName)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EnityWithProvenance)(z)",,,,,,,,,,
,,"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P71(hasAlternateName)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EnityWithProvenance)(z)",,,,,,,,,,
,,"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P72(hasSurname)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EnityWithProvenance)(z)",,,,,,,,,,
,,"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P73(hasFirstName)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EnityWithProvenance)(z)",,,,,,,,,,
,,"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? ed : Q410(Person)(w) ? ep : P20(hasName)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)",,,,,,,,,,
,,"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? ed : Q410(Person)(w) ? ep : P71(hasAlternateName)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)",,,,,,,,,,
,,"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? ed : Q410(Person)(w) ? ep : P72(hasSurname)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)",,,,,,,,,,
,,"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? ed : Q410(Person)(w) ? ep : P73(hasFirstName)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)",,,,,,,,,,
